group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
baseline,,,,,993291.0,ns,166304
baseline,,,,,1977041.0,ns,332608
baseline,,,,,2963458.0,ns,498912
baseline,,,,,3979000.0,ns,665216
baseline,,,,,4990958.0,ns,831520
baseline,,,,,5956833.0,ns,997824
baseline,,,,,6931000.0,ns,1164128
baseline,,,,,7925666.0,ns,1330432
baseline,,,,,8942958.0,ns,1496736
baseline,,,,,9975625.0,ns,1663040
baseline,,,,,10878541.0,ns,1829344
baseline,,,,,11832166.0,ns,1995648
baseline,,,,,12854541.0,ns,2161952
baseline,,,,,13821666.0,ns,2328256
baseline,,,,,14848625.0,ns,2494560
baseline,,,,,15827333.0,ns,2660864
baseline,,,,,16807958.0,ns,2827168
baseline,,,,,17804708.0,ns,2993472
baseline,,,,,18857833.0,ns,3159776
baseline,,,,,19847208.0,ns,3326080
baseline,,,,,20756833.0,ns,3492384
baseline,,,,,21736250.0,ns,3658688
baseline,,,,,22697958.0,ns,3824992
baseline,,,,,23721458.0,ns,3991296
baseline,,,,,24730666.0,ns,4157600
baseline,,,,,25698958.0,ns,4323904
baseline,,,,,26672541.0,ns,4490208
baseline,,,,,27673166.0,ns,4656512
baseline,,,,,28715375.0,ns,4822816
baseline,,,,,29643416.0,ns,4989120
baseline,,,,,30637125.0,ns,5155424
baseline,,,,,31699583.0,ns,5321728
baseline,,,,,32815625.0,ns,5488032
baseline,,,,,33624208.0,ns,5654336
baseline,,,,,34645250.0,ns,5820640
baseline,,,,,35552041.0,ns,5986944
baseline,,,,,36540916.0,ns,6153248
baseline,,,,,37592333.0,ns,6319552
baseline,,,,,38551625.0,ns,6485856
baseline,,,,,39520083.0,ns,6652160
baseline,,,,,40533708.0,ns,6818464
baseline,,,,,41737875.0,ns,6984768
baseline,,,,,42520333.0,ns,7151072
baseline,,,,,43468125.0,ns,7317376
baseline,,,,,44620583.0,ns,7483680
baseline,,,,,45629916.0,ns,7649984
baseline,,,,,46491916.0,ns,7816288
baseline,,,,,47488541.0,ns,7982592
baseline,,,,,48444375.0,ns,8148896
baseline,,,,,49975208.0,ns,8315200
baseline,,,,,50526833.0,ns,8481504
baseline,,,,,51405958.0,ns,8647808
baseline,,,,,52489458.0,ns,8814112
baseline,,,,,54553208.0,ns,8980416
baseline,,,,,56411916.0,ns,9146720
baseline,,,,,56937958.0,ns,9313024
baseline,,,,,57462083.0,ns,9479328
baseline,,,,,58437125.0,ns,9645632
baseline,,,,,58589583.0,ns,9811936
baseline,,,,,59314458.0,ns,9978240
baseline,,,,,60260833.0,ns,10144544
baseline,,,,,61319875.0,ns,10310848
baseline,,,,,62315791.0,ns,10477152
baseline,,,,,63530541.0,ns,10643456
baseline,,,,,64250583.0,ns,10809760
baseline,,,,,65277083.0,ns,10976064
baseline,,,,,66246750.0,ns,11142368
baseline,,,,,67258875.0,ns,11308672
baseline,,,,,68175875.0,ns,11474976
baseline,,,,,69161041.0,ns,11641280
baseline,,,,,70176958.0,ns,11807584
baseline,,,,,71362250.0,ns,11973888
baseline,,,,,72171791.0,ns,12140192
baseline,,,,,73196416.0,ns,12306496
baseline,,,,,74147833.0,ns,12472800
baseline,,,,,75136791.0,ns,12639104
baseline,,,,,76148166.0,ns,12805408
baseline,,,,,77090416.0,ns,12971712
baseline,,,,,78360583.0,ns,13138016
baseline,,,,,79089458.0,ns,13304320
baseline,,,,,80114166.0,ns,13470624
baseline,,,,,81090291.0,ns,13636928
baseline,,,,,82026625.0,ns,13803232
baseline,,,,,83028583.0,ns,13969536
baseline,,,,,84290750.0,ns,14135840
baseline,,,,,85223208.0,ns,14302144
baseline,,,,,86125041.0,ns,14468448
baseline,,,,,86993083.0,ns,14634752
baseline,,,,,88020833.0,ns,14801056
baseline,,,,,88921458.0,ns,14967360
baseline,,,,,90131916.0,ns,15133664
baseline,,,,,90904625.0,ns,15299968
baseline,,,,,91974916.0,ns,15466272
baseline,,,,,92886875.0,ns,15632576
baseline,,,,,93900375.0,ns,15798880
baseline,,,,,95071083.0,ns,15965184
baseline,,,,,97290250.0,ns,16131488
baseline,,,,,99475583.0,ns,16297792
baseline,,,,,100596375.0,ns,16464096
baseline,,,,,100165375.0,ns,16630400
